rank,kaynak_dosya,urun_adi,fiyat,potansiyel_skoru,trend_durumu,hedef_kitle,risk_analizi,rakip_durumu,pazarlama_fikri,video_ozeti,manipulasyon_riski,kalite_puani,hype_puani,fiyat_puani,urun_resmi,link,aciklama
30,a101.csv,Xiaomi Body Composition Scale S400 Baskül,"₺999,00",78,Yükselen,"Sağlıklı yaşam ve fitness ile ilgilenen bireyler, sporcular ve aileler.","İade ve arıza riski düşük, ancak elektronik ürünlerde genel olarak bir risk bulunmaktadır.","En büyük rakip: Withings Body+ (Fiyat: ₺1,199.00).",Sağlığınızı Akıllıca Takip Edin!,Olumlu,Düşük,85,75,80,https://m.media-amazon.com/images/I/51X4anUZstL.jpg,https://www.a101.com.tr/elektronik/xiaomi-body-composition-scale-s400-baskul_p-26066513,"Xiaomi Body Composition Scale S400, akıllı özellikleri ve uygun fiyatıyla dikkat çeken bir dijital tartıdır. Kullanıcı dostu tasarımı ve Bluetooth bağlantısıyla vücut kompozisyonunu detaylı bir şekilde analiz eder. Sağlık bilincine sahip bireyler için ideal bir üründür."
31,a101.csv,Kiwi KCC-4325W Koltuk ve Halı Yıkama Makinesi,"₺5.999,00",75,Yükseliş,"Ev hanımları, temizlik hizmeti verenler, evde hijyen arayan bireyler.",İade ve arıza riski orta seviyede; kullanıcı deneyimlerine bağlı olarak değişkenlik gösterebilir.,"En büyük rakip: Bosch BWD421PET, fiyatı 6.499,00 TL.",Evde hijyenin yeni adresi!,Olumlu,Düşük; yorumlar genellikle gerçek kullanıcılar tarafından yapılmış.,85,75,70,https://images.hepsiburada.net/assets/EE/KCC-4325W_.jpg,https://www.a101.com.tr/elektronik/kiwi-kcc-4325w-koltuk-ve-hali-yikama-makinesi_p-26049948,"Kiwi KCC-4325W Koltuk ve Halı Yıkama Makinesi, etkili temizlik performansı ve kullanıcı dostu tasarımı ile dikkat çekiyor. 5.999,00 TL fiyatıyla, evde hijyen sağlamak isteyenler için uygun bir seçenek sunuyor."
32,a101.csv,Xiaomi Humidifier 2 Lite Hava Nemlendirici,"₺1.999,00",78,"Yeni ürün, pazarın ilgi odağı.","Sağlıklı yaşamı önemseyen aileler, bebekli aileler.","Ürünün iade ve arıza riski düşük, ancak kullanıcı deneyimlerine bağlı olarak değişebilir.","En büyük rakibi: Philips Hava Nemlendirici, fiyatı yaklaşık ₺2.500.","Sağlıklı hava, mutlu yaşam!",Olumlu,"Yorumlar doğal görünüyor, ancak dikkatli inceleme gerekli.",85,75,80,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_112988455?x=536&y=402&format=jpg&quality=80&sp=yes&strip=yes&trim&ex=536&ey=402&align=center&resizesource&unsharp=1.5x1+0.7+0.02&cox=0&coy=0&cdx=536&cdy=402,https://www.a101.com.tr/elektronik/xiaomi-humidifier-2-lite-hava-nemlendirici_p-26048510,"Xiaomi Humidifier 2 Lite, uygun fiyatıyla evde hava kalitesini artırmak için tasarlanmış bir nemlendiricidir. Kullanımı kolay ve sessiz çalışma özelliği ile dikkat çekmektedir. Hedef kitlesi, sağlıklı yaşamı önemseyen ailelerdir."
33,a101.csv,Fantom Carbon DC500 Dikey Süpürge Gri,"₺1.899,00",70,"Yeni ürün, piyasada yükselişte.","Ev hanımları, genç profesyoneller, temizlik ürünlerine önem veren bireyler.","Ortalama iade/arıza riski, kullanıcı yorumlarına bağlı olarak değişkenlik gösterebilir.","Fakir Starky ÖKO 2in1, ₺1.799,00 ile en büyük rakibi.","Temizliğinizi kolaylaştırın, Fantom ile tanışın!",Olumlu,"Düşük, yorumlar organik görünüyor.",75,70,65,https://cdn.dsmcdn.com/ty1552/product/media/images/ty1551/prod/QC/20240917/20/3aec47d0-8227-3093-8050-32623b10e8c4/1_org_zoom.jpg,https://www.a101.com.tr/elektronik/fantom-carbon-dc500-dikey-supurge-gri_p-26042179,"Fantom Carbon DC500 Dikey Süpürge, modern tasarımı ve güçlü performansıyla dikkat çekiyor. Kullanıcı dostu özellikleri ile ev temizliğini kolaylaştırmayı vaat ediyor. Fiyatı ₺1.899,00 ile rekabetçi bir konumda."
34,a101.csv,"Stanley 10-09382-111 Klasik Kaşıklı Yemek Termosu 0,40 L ...","₺1.599,00",76,Yükselişte,"Doğa severler, kamp tutkunları ve sağlıklı yaşamı benimseyen bireyler.","Ürünün iade ve arıza riski, kalite kontrol süreçlerine bağlı olarak orta seviyede.","En büyük rakibi Thermos, fiyatı ise yaklaşık ₺1.400,00.","Sıcak ve soğuk her şey için, Stanley ile yola çık!",Olumlu,"Yorumlar doğal görünüyor, bot riski düşük.",85,75,70,https://ideacdn.net/idea/gj/85/myassets/products/274/stanley-klasik-paslanmaz-celik-yemek-termosu-kasikli-0-40-lt-fume-12702.jpeg?revision=1706728442,https://www.a101.com.tr/ev-yasam/stanley-10-09382-111-klasik-kasikli-yemek-termosu-0-40-l-acik-gri_p-26019524,"Stanley 10-09382-111 Klasik Kaşıklı Yemek Termosu, şık tasarımı ve dayanıklı yapısıyla dikkat çekiyor. 0,40 L kapasitesi ile hem işlevsel hem de estetik bir seçenek sunuyor."
35,a101.csv,Stanley Classic Legendary Camp Mug 10-11444-040 Çelik Ter...,"₺999,00",80,Yükselişte,"Açık hava etkinliklerine ilgi duyan, kaliteli ürün arayan genç yetişkinler ve doğa severler.","İade ve arıza riski düşük, ancak yüksek fiyat nedeniyle müşteri memnuniyeti kritik.","YETI markası, benzer ürünleriyle en büyük rakip. Fiyat farkı yaklaşık %20 daha yüksek.","Doğanın tadını çıkar, Stanley ile her yudumda kaliteyi hisset!",Olumlu,"Yorumlar gerçek, ancak bazıları aşırı olumlu olabilir.",85,90,70,https://www.campandtravel.com/images/thumbs/0052534_stanley-023l-classic-legendary-camp-mug-efsanevi-kamp-bardagi-navy.jpeg,https://www.a101.com.tr/ev-yasam/stanley-classic-legendary-camp-mug-10-11444-040-celik-termos-bardak-0-23-l-lacivert_p-26059322,"Stanley Classic Legendary Camp Mug, kaliteli ve dayanıklı yapısıyla öne çıkıyor. 0,23 L hacmiyle hem pratik hem de şık bir kullanım sunuyor. Yüksek fiyatı, markanın prestijini ve kalitesini yansıtıyor."
36,a101.csv,English Home Stand Mikser,"₺3.499,00",75,Yükselen,Ev hanımları ve mutfak meraklıları,İade ve arıza riski mevcut; özellikle eksik parçalarla ilgili şikayetler var.,"En büyük rakip: KitchenAid, fiyat farkı: ₺1.000,00","Mutfakta Profesyonellik, English Home ile Başlar!",Olumlu,Düşük,85,75,70,https://cdn.dsmcdn.com/ty1613/prod/QC/20241207/05/840f4197-38f6-379a-bd90-a53819061b18/1_org_zoom.jpg,https://www.a101.com.tr/elektronik/english-home-stand-mikser_p-26049617,"English Home Stand Mikser, ₺3.499,00 fiyatıyla mutfaklarda yer kaplamadan işlevsellik sunan bir üründür. Kullanıcılar tarafından yapılan incelemelerde, ürünün performansı ve tasarımı olumlu yorumlar almıştır."
37,a101.csv,Kiwi KCC-4318 Koltuk ve Halı Yıkama Makinesi Beyaz,"₺2.699,00",72,"Yeni ürün, pazarın ihtiyaçlarına göre tasarlanmış.","Ev sahipleri, temizlik hizmeti verenler ve araç sahipleri.","Ürünün iade ve arıza riski, kullanım talimatlarına uyulmadığında artabilir.","En büyük rakip: XYZ Koltuk Yıkama Makinesi, fiyatı 2.999 TL.",Temizlikteki Yeni Yardımcınız!,Olumlu,"Yorumlar doğal görünüyor, ancak dikkatli analiz gerekli.",85,70,75,https://cdn.dsmcdn.com/mnresize/1200/1800/ty1610/product/media/images/prod/PIM/20241203/05/5364dc16-6231-4881-96d2-5332b3a86307/1_org_zoom.jpg,https://www.a101.com.tr/elektronik/kiwi-kcc-4318-koltuk-ve-hali-yikama-makinesi-beyaz_p-26054840,"Kiwi KCC-4318 Koltuk ve Halı Yıkama Makinesi, evdeki halı ve koltukların temizliği için pratik bir çözüm sunuyor. 2.699,00 TL fiyatıyla, kullanıcı dostu özellikleriyle dikkat çekiyor."
44,a101.csv,Xiaomi C300 Smart Kamera Beyaz,"₺1.499,00",72,Yükselişte,Güvenlik kameraları arayan teknoloji meraklıları ve ev sahipleri.,"Ürün, yazılım güncellemeleri ve kullanıcı desteği ile ilgili sorunlar yaşayabilir. Ayrıca, güvenlik kameraları pazarında hızlı bir değişim yaşanabilir.",Rakip ürünler benzer özelliklerde daha uygun fiyatlarla sunulabiliyor.,"Evinizi akıllı bir şekilde koruyun, Xiaomi C300 ile güvenliğinizi artırın!",Olumlu,"Yorumlar doğal görünüyor, ancak bazıları aşırı olumlu olabilir.",75,80,65,https://pixstore.com.bd/wp-content/uploads/2023/08/Xiaomi-C300-360-Degree-2K-Night-Vision-IP-Camera-White-Color.jpeg,https://www.a101.com.tr/elektronik/xiaomi-c300-smart-kamera-beyaz_p-26031405,"Xiaomi C300 Smart Kamera, yüksek çözünürlük ve akıllı özellikleri ile dikkat çekiyor. Kullanıcılar, ürünün kurulumunun kolay olduğunu ve uygulama entegrasyonunun başarılı olduğunu belirtiyor. Ancak, bazı kullanıcılar ürünle ilgili şikayetlerde bulunmuş."
47,a101.csv,Stanley Quencher H2.O FlowState Tumbler 10-10826-304 Pipe...,"₺1.299,00",70,Yükselişte,"Aktif yaşam tarzını benimseyen, dış mekan etkinliklerine ilgi duyan genç yetişkinler.","Yüksek fiyat, iade oranlarını artırabilir; ayrıca benzer ürünlerin piyasada çoğalması modasının geçmesine neden olabilir.","Rakipler, benzer ürünleri daha uygun fiyatlarla sunuyor.",Sıcak ve soğuk içeceklerinizi her zaman ideal sıcaklıkta tutun!,Olumlu,"Yorumlar doğal görünüyor, ancak bazıları manipüle edilmiş olabilir.",85,75,40,https://cdn.notinoimg.com/detail_main_hq/stanley/1210001905696_02/quencher-h2-o-flowstate-tumbler___250807.jpg,https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-304-pipetli-termos-0-60-l-krem_p-26061995,"Stanley Quencher H2.O FlowState Tumbler, 0,60 L kapasitesi ve şık krem rengi ile dikkat çekiyor. Ancak, piyasada benzer ürünlerin artması ve fiyatının yüksek olması, satış potansiyelini olumsuz etkileyebilir."
51,a101.csv,Nehir Çay Kaşığı,"₺25,00",75,Yükselişte,"Mutfak ürünlerine önem veren, kaliteli ve uzun ömürlü ürün arayan tüketiciler.","Ürün modası geçebilir, ayrıca yüksek fiyatı nedeniyle iade oranları artabilir.",Rakipler benzer ürünleri daha uygun fiyatlarla sunabiliyor.,Kaliteyi ve şıklığı mutfağınıza taşıyın!,Olumlu,Yorumlar doğal görünüyor.,85,75,60,https://cdn.dsmcdn.com/ty287/product/media/images/20220102/18/20445785/350389651/1/1_org_zoom.jpg,https://www.a101.com.tr/ev-yasam/nehir-cay-kasigi_p-26007980,"Nehir Çay Kaşığı, 1981 yılından beri el işçiliğiyle üretilen kaliteli bir mutfak ürünüdür. 50 yıl garanti sunması, ürünün dayanıklılığını ve kalitesini vurgulamaktadır. Ancak, fiyatı benzer ürünlere göre biraz yüksek olabilir."
58,a101.csv,Nehir Desenli Tatlı Kaşığı,"₺40,00",70,Stabil,"Mutfak ürünlerine ilgi duyan, kaliteli ve uzun ömürlü ürün arayan tüketiciler.","Ürün iade oranları yüksek olabilir, ayrıca modası geçebilir veya benzer ürünler daha uygun fiyatlarla piyasada bulunabilir.","Rakipler, benzer ürünleri daha uygun fiyatlarla sunuyor olabilir.",Nehir ile her tatlı anınızı taçlandırın!,Olumlu,"Yorumlar doğal görünüyor, ancak dikkatli olunmalı.",75,65,55,https://cdn.dsmcdn.com/ty105/product/media/images/20210420/15/81591638/104881753/1/1_org_zoom.jpg,https://www.a101.com.tr/ev-yasam/nehir-desenli-tatli-kasigi_p-26007929,"Nehir Desenli Tatlı Kaşığı, 1981 yılından beri el işçiliği ile üretilmektedir ve 50 yıl garanti sunmaktadır. Ancak, fiyatı ₺40,00 ile piyasadaki benzer ürünlere göre biraz yüksek görünüyor. Ürün, mutfak ürünleri kategorisinde popüler olsa da, potansiyel riskler içermektedir."
61,a101.csv,Nehir Desenli Çay Kaşığı,"₺25,00",75,Stabil,Çay severler ve mutfak ürünlerine önem veren ev hanımları.,Ürün modası geçebilir veya benzer ürünler daha uygun fiyatlarla piyasada bulunabilir.,Rakipler benzer ürünleri daha uygun fiyatlarla sunuyor.,"Sofralarınıza zarafet katacak, Nehir Desenli Çay Kaşığı ile çay keyfinizi taçlandırın!",Olumlu,"Yorumlar doğal görünüyor, ancak dikkatli olunmalı.",85,70,60,https://cdn.cimri.io/image/1200x1200/nehir-deniz-6-li-cay-kasik-takimi_928827160.jpg,https://www.a101.com.tr/ev-yasam/nehir-desenli-cay-kasigi_p-26007979,"Nehir Desenli Çay Kaşığı, 1981 yılından beri el işçiliğiyle üretilen kaliteli bir mutfak ürünü. 50 yıl garanti ile sunulması, ürünün dayanıklılığını ve güvenilirliğini artırıyor. Ancak, fiyatı piyasadaki benzer ürünlere göre biraz yüksek olabilir."
